run_id,capacity_bytes,capacity_error_frac,tfup_ground_s,tfup_ground_completed,tfup_progressive_s,tfup_progressive_completed,tcp_ground_s,tcp_progressive_s
0,410314327.67552495,0.09417154046806644,nan,False,30.016384,False,nan,nan
1,322628321.0737069,-0.139657810470115,nan,False,30.016384,False,nan,nan
2,349510708.1970592,-0.0679714448078421,nan,False,30.016384,False,nan,nan
3,388893883.7797748,0.037050356746065986,nan,False,30.016384,False,nan,nan
4,336886916.46794736,-0.1016348894188071,nan,False,30.016384,False,nan,nan
5,372295499.1455598,-0.007212002278507135,nan,False,30.016384,False,nan,nan
6,381719868.2728072,0.01791964872748569,nan,False,30.016384,False,nan,nan
7,343833779.42733794,-0.08310992152709883,nan,False,30.016384,False,nan,nan
8,325911098.83277404,-0.13090373644593586,nan,False,30.016384,False,nan,nan
9,382270790.2968414,0.019388774124910413,nan,False,30.016384,False,nan,nan
10,412246863.8825699,0.09932497035351973,nan,False,30.016384,False,nan,nan
11,350738188.8544686,-0.06469816305475048,nan,False,30.016384,False,nan,nan
12,362487450.6076624,-0.03336679837956696,nan,False,30.016384,False,nan,nan
13,436712691.02185047,0.16456717605826776,nan,False,30.016384,False,nan,nan
14,354041633.78068984,-0.055888976584827055,nan,False,30.016384,False,nan,nan
15,355719125.1355227,-0.0514156663052727,nan,False,30.016384,False,nan,nan
16,465154474.9611963,0.240411933229857,nan,False,30.016384,False,nan,nan
17,317584402.76723886,-0.15310825928736302,nan,False,30.016384,False,nan,nan
18,404867469.0110082,0.07964658402935511,nan,False,30.016384,False,nan,nan
19,299863180.6068224,-0.20036485171514046,nan,False,30.016384,False,nan,nan
20,352613896.94678617,-0.059696274808570204,nan,False,30.016384,False,nan,nan
21,431388033.09307265,0.1503680882481937,nan,False,30.016384,False,nan,nan
22,420803865.4903752,0.1221436413076672,nan,False,30.016384,False,nan,nan
23,341207994.3601731,-0.09011201503953836,nan,False,30.016384,False,nan,nan
24,357986297.6203269,-0.04536987301246162,nan,False,30.016384,False,nan,nan
25,378008739.0903979,0.008023304241061142,nan,False,30.016384,False,nan,nan
26,327821126.33533245,-0.12581032977244674,nan,False,30.016384,False,nan,nan
27,395708250.18978745,0.05522200050609998,nan,False,30.016384,False,nan,nan
28,458534148.45263314,0.2227577292070218,nan,False,30.016384,False,nan,nan
29,324178443.9918275,-0.1355241493551267,nan,False,30.016384,False,nan,nan
30,300692509.5167519,-0.19815330795532843,nan,False,30.016384,False,nan,nan
31,385809140.4592903,0.02882437455810757,nan,False,30.016384,False,nan,nan
32,370532875.8343285,-0.011912331108457304,nan,False,30.016384,False,nan,nan
33,442662372.4469828,0.18043299319195408,nan,False,30.016384,False,nan,nan
34,368986418.2853621,-0.016036217905701027,nan,False,30.016384,False,nan,nan
35,373100260.7381729,-0.0050659713648723015,nan,False,30.016384,False,nan,nan
36,367842229.1399527,-0.019087388960126035,nan,False,30.016384,False,nan,nan
37,337852266.0619387,-0.09906062383483011,nan,False,30.016384,False,nan,nan
38,400238624.400952,0.06730299840253856,nan,False,30.016384,False,nan,nan
39,325346907.5822992,-0.1324082464472022,nan,False,30.016384,False,nan,nan
40,418743380.183945,0.1166490138238534,nan,False,30.016384,False,nan,nan
41,375314106.7313267,0.0008376179502044914,nan,False,30.016384,False,nan,nan
42,393886127.114194,0.05036300563785048,nan,False,30.016384,False,nan,nan
43,354271323.8579735,-0.05527646971207058,nan,False,30.016384,False,nan,nan
44,340492737.4562422,-0.09201936678335405,nan,False,30.016384,False,nan,nan
45,442509876.0165487,0.18002633604412996,nan,False,30.016384,False,nan,nan
46,392570616.8344792,0.04685497822527792,nan,False,30.016384,False,nan,nan
47,420262619.2262004,0.12070031793653449,nan,False,30.016384,False,nan,nan
48,382017108.66749287,0.018712289779980944,nan,False,30.016384,False,nan,nan
49,472935282.2721018,0.26116075272560474,nan,False,30.016384,False,nan,nan
50,388406251.81366545,0.03575000483644121,nan,False,30.016384,False,nan,nan
51,336382319.8298851,-0.10298048045363971,nan,False,30.016384,False,nan,nan
52,403819091.13578206,0.07685090969541893,nan,False,30.016384,False,nan,nan
53,390948716.8446618,0.042529911585764635,nan,False,30.016384,False,nan,nan
54,287956875.99402905,-0.23211499734925592,nan,False,30.016384,False,nan,nan
55,370653591.4102017,-0.011590422906128793,nan,False,30.016384,False,nan,nan
56,411757463.29440075,0.09801990211840204,nan,False,30.016384,False,nan,nan
57,405043689.0043789,0.08011650401167723,nan,False,30.016384,False,nan,nan
58,362271172.1882629,-0.03394354083129888,nan,False,30.016384,False,nan,nan
59,329526591.9357301,-0.12126242150471978,nan,False,30.016384,False,nan,nan
60,393423508.0990285,0.049129354930742795,nan,False,30.016384,False,nan,nan
61,332031452.0310482,-0.1145827945838715,nan,False,30.016384,False,nan,nan
62,424675449.8403921,0.13246786624104565,nan,False,30.016384,False,nan,nan
63,363514967.002624,-0.030626754659669343,nan,False,30.016384,False,nan,nan
64,340319287.3697178,-0.09248190034741936,nan,False,30.016384,False,nan,nan
65,353712528.0002375,-0.05676659199936665,nan,False,30.016384,False,nan,nan
66,344591669.5100619,-0.08108888130650166,nan,False,30.016384,False,nan,nan
67,353973100.78183955,-0.05607173124842788,nan,False,30.016384,False,nan,nan
68,347385596.10734737,-0.07363841038040712,nan,False,30.016384,False,nan,nan
69,360787180.37373555,-0.03790085233670528,nan,False,30.016384,False,nan,nan
70,383961363.72136915,0.02389696992365105,nan,False,30.016384,False,nan,nan
