profile,criterion,weight,top_architecture,top_score
TACTICAL_USER_LEANING,mission_thread_success,0.19999999999999998,ThreadAwarePriority,0.8498281309020649
TACTICAL_USER_LEANING,mission_thread_success,0.3,ThreadAwarePriority,0.8685996145393068
TACTICAL_USER_LEANING,mission_thread_success,0.35,ThreadAwarePriority,0.8779853563579278
TACTICAL_USER_LEANING,mission_thread_success,0.39999999999999997,ThreadAwarePriority,0.8873710981765488
TACTICAL_USER_LEANING,mission_thread_success,0.5,ThreadAwarePriority,0.9061425818137907
TACTICAL_USER_LEANING,mission_thread_success,0.6499999999999999,ThreadAwarePriority,0.9342998072696533
TACTICAL_USER_LEANING,latency,0.1,ThreadAwarePriority,0.8801172194662481
TACTICAL_USER_LEANING,latency,0.2,ThreadAwarePriority,0.8786959773940344
TACTICAL_USER_LEANING,latency,0.25,ThreadAwarePriority,0.8779853563579278
TACTICAL_USER_LEANING,latency,0.3,ThreadAwarePriority,0.877274735321821
TACTICAL_USER_LEANING,latency,0.4,ThreadAwarePriority,0.8758534932496075
TACTICAL_USER_LEANING,latency,0.55,ThreadAwarePriority,0.8737216301412873
TACTICAL_USER_LEANING,fidelity,0.0,ThreadAwarePriority,0.8564533604210917
TACTICAL_USER_LEANING,fidelity,0.09999999999999999,ThreadAwarePriority,0.8708080243789823
TACTICAL_USER_LEANING,fidelity,0.15,ThreadAwarePriority,0.8779853563579278
TACTICAL_USER_LEANING,fidelity,0.2,ThreadAwarePriority,0.8851626883368733
TACTICAL_USER_LEANING,fidelity,0.3,ThreadAwarePriority,0.899517352294764
TACTICAL_USER_LEANING,fidelity,0.44999999999999996,ThreadAwarePriority,0.9210493482316003
TACTICAL_USER_LEANING,terminal_swap_burden,0.0,ThreadAwarePriority,0.9310948403976974
TACTICAL_USER_LEANING,terminal_swap_burden,0.05,ThreadAwarePriority,0.9045400983778126
TACTICAL_USER_LEANING,terminal_swap_burden,0.1,ThreadAwarePriority,0.8779853563579278
TACTICAL_USER_LEANING,terminal_swap_burden,0.15000000000000002,ThreadAwarePriority,0.8514306143380428
TACTICAL_USER_LEANING,terminal_swap_burden,0.25,ThreadAwarePriority,0.7983211302982732
TACTICAL_USER_LEANING,terminal_swap_burden,0.4,ThreadAwarePriority,0.7186569042386185
TACTICAL_USER_LEANING,resilience,0.0,ThreadAwarePriority,0.868701678004535
TACTICAL_USER_LEANING,resilience,0.05,ThreadAwarePriority,0.8733435171812315
TACTICAL_USER_LEANING,resilience,0.1,ThreadAwarePriority,0.8779853563579278
TACTICAL_USER_LEANING,resilience,0.15000000000000002,ThreadAwarePriority,0.8826271955346241
TACTICAL_USER_LEANING,resilience,0.25,ThreadAwarePriority,0.8919108738880167
TACTICAL_USER_LEANING,resilience,0.4,Progressive,0.9117689520082005
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.0,ThreadAwarePriority,0.8978793224820293
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.0,ThreadAwarePriority,0.8978793224820293
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.05,ThreadAwarePriority,0.8779853563579278
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.1,ThreadAwarePriority,0.8580913902338264
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.2,Progressive,0.8253923604314113
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.35,Progressive,0.7831312928505216
ACQUISITION_LEANING,mission_thread_success,0.0,RoiFirst,0.7475020777541787
ACQUISITION_LEANING,mission_thread_success,0.09999999999999999,RoiFirst,0.7412450206636922
ACQUISITION_LEANING,mission_thread_success,0.15,Progressive,0.7485134259994408
