architecture,thread,terminal_class,condition,n_trials,success_rate,success_rate_ci_lower,success_rate_ci_upper
ContactAware,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
ContactAware,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
GroundOnly,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,200,0.005,0.0,0.015
Progressive,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,200,0.005,0.0,0.015
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.015,0.0,0.035
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.01,0.0,0.025
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,200,0.025,0.005,0.05
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,200,0.03,0.01,0.055
Progressive,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.02,0.005,0.04
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.035,0.01,0.06
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.02,0.005,0.04
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,200,0.035,0.01,0.065
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,200,0.03,0.01,0.055
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.025,0.005,0.05
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.005,0.0,0.015
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.015,0.0,0.035
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.01,0.0,0.025
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,200,0.01,0.0,0.025
Progressive,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.015,0.0,0.035
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.005,0.0,0.015
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.005,0.0,0.015
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,200,0.005,0.0,0.015
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,200,0.01,0.0,0.025
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.01,0.0,0.025
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.005,0.0,0.015
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,200,0.005,0.0,0.015
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,200,0.005,0.0,0.015
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.005,0.0,0.015
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.025,0.005,0.05
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,200,0.015,0.0,0.035
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,200,0.035,0.015,0.06
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.03,0.01,0.055
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.02,0.005,0.04
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.02,0.005,0.04
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,200,0.05,0.02,0.085
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,200,0.035,0.015,0.065
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.015,0.0,0.035
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,CONTACT_DENIAL,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,INTERFERENCE,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,NOMINAL,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,DISMOUNTED_MANPACK,REACHBACK_LOST,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,COMBINED_DEGRADED,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,CONTACT_DENIAL,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,200,0.0,0.0,0.0
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,REACHBACK_LOST,200,0.0,0.0,0.0
