hour,day,soc_wh,processing_paused,brownout_events,storage_used_bytes,storage_occupancy,total_physical_writes_bytes,wear_fraction,health_fraction
33,1,80.0,False,2,25769803776,0.0938,88905823008,0.000108,0.999892
34,1,100.0,False,2,26843545600,0.0977,92610232300,0.000112,0.999888
35,1,100.0,False,2,27917287424,0.1016,96314641592,0.000117,0.999883
36,1,100.0,False,2,28991029248,0.1055,100019050884,0.000121,0.999879
37,1,100.0,False,2,30064771072,0.1094,103723460176,0.000126,0.999874
38,1,100.0,False,2,31138512896,0.1133,107427869468,0.00013,0.99987
39,1,100.0,False,2,32212254720,0.1172,111132278760,0.000135,0.999865
40,1,100.0,False,2,33285996544,0.1211,114836688052,0.000139,0.999861
41,1,100.0,False,2,34359738368,0.125,118541097344,0.000144,0.999856
42,1,80.0,False,2,35433480192,0.1289,122245506636,0.000148,0.999852
43,1,60.0,False,2,36507222016,0.1328,125949915928,0.000153,0.999847
44,1,40.0,False,2,37580963840,0.1367,129654325220,0.000157,0.999843
45,1,20.0,False,2,38654705664,0.1406,133358734512,0.000162,0.999838
46,1,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
47,1,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
48,2,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
49,2,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
50,2,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
51,2,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
52,2,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
53,2,0.0,True,3,38654705664,0.1406,133358734512,0.000162,0.999838
54,2,20.0,False,3,39728447488,0.1445,137063143804,0.000166,0.999834
55,2,40.0,False,3,40802189312,0.1484,140767553096,0.000171,0.999829
56,2,60.0,False,3,41875931136,0.1523,144471962388,0.000175,0.999825
57,2,80.0,False,3,42949672960,0.1562,148176371680,0.00018,0.99982
58,2,100.0,False,3,44023414784,0.1602,151880780972,0.000184,0.999816
59,2,100.0,False,3,45097156608,0.1641,155585190264,0.000189,0.999811
60,2,100.0,False,3,46170898432,0.168,159289599556,0.000193,0.999807
61,2,100.0,False,3,47244640256,0.1719,162994008848,0.000198,0.999802
62,2,100.0,False,3,48318382080,0.1758,166698418140,0.000202,0.999798
63,2,100.0,False,3,49392123904,0.1797,170402827432,0.000207,0.999793
64,2,100.0,False,3,50465865728,0.1836,174107236724,0.000211,0.999789
65,2,100.0,False,3,51539607552,0.1875,177811646016,0.000216,0.999784
66,2,80.0,False,3,52613349376,0.1914,181516055308,0.00022,0.99978
