run_id,capacity_bytes,capacity_error_frac,tfup_ground_s,tfup_progressive_s,tcp_ground_s,tcp_progressive_s
0,410314327.67552495,0.09417154046806644,328.25146214041996,30.016384,328.25146214041996,80.7674624
1,322628321.0737069,-0.139657810470115,258.10265685896553,30.016384,258.10265685896553,80.7674624
2,349510708.1970592,-0.0679714448078421,279.60856655764735,30.016384,279.60856655764735,80.7674624
3,388893883.7797748,0.037050356746065986,311.1151070238198,30.016384,311.1151070238198,80.7674624
4,336886916.46794736,-0.1016348894188071,269.5095331743579,30.016384,269.5095331743579,80.7674624
5,372295499.1455598,-0.007212002278507135,297.83639931644785,30.016384,297.83639931644785,80.7674624
6,381719868.2728072,0.01791964872748569,305.37589461824575,30.016384,305.37589461824575,80.7674624
7,343833779.42733794,-0.08310992152709883,275.06702354187036,30.016384,275.06702354187036,80.7674624
8,325911098.83277404,-0.13090373644593586,260.72887906621924,30.016384,260.72887906621924,80.7674624
9,382270790.2968414,0.019388774124910413,305.81663223747313,30.016384,305.81663223747313,80.7674624
10,412246863.8825699,0.09932497035351973,329.79749110605593,30.016384,329.79749110605593,80.7674624
11,350738188.8544686,-0.06469816305475048,280.5905510835749,30.016384,280.5905510835749,80.7674624
12,362487450.6076624,-0.03336679837956696,289.9899604861299,30.016384,289.9899604861299,80.7674624
13,436712691.02185047,0.16456717605826776,349.37015281748035,30.016384,349.37015281748035,80.7674624
14,354041633.78068984,-0.055888976584827055,283.2333070245519,30.016384,283.2333070245519,80.7674624
15,355719125.1355227,-0.0514156663052727,284.57530010841816,30.016384,284.57530010841816,80.7674624
16,465154474.9611963,0.240411933229857,372.123579968957,30.016384,372.123579968957,80.7674624
17,317584402.76723886,-0.15310825928736302,254.06752221379108,30.016384,254.06752221379108,80.7674624
18,404867469.0110082,0.07964658402935511,323.8939752088066,30.016384,323.8939752088066,80.7674624
19,299863180.6068224,-0.20036485171514046,239.8905444854579,30.016384,239.8905444854579,80.7674624
20,352613896.94678617,-0.059696274808570204,282.09111755742896,30.016384,282.09111755742896,80.7674624
21,431388033.09307265,0.1503680882481937,345.1104264744581,30.016384,345.1104264744581,80.7674624
22,420803865.4903752,0.1221436413076672,336.64309239230016,30.016384,336.64309239230016,80.7674624
23,341207994.3601731,-0.09011201503953836,272.96639548813846,30.016384,272.96639548813846,80.7674624
24,357986297.6203269,-0.04536987301246162,286.3890380962615,30.016384,286.3890380962615,80.7674624
25,378008739.0903979,0.008023304241061142,302.4069912723183,30.016384,302.4069912723183,80.7674624
26,327821126.33533245,-0.12581032977244674,262.25690106826596,30.016384,262.25690106826596,80.7674624
27,395708250.18978745,0.05522200050609998,316.56660015182996,30.016384,316.56660015182996,80.7674624
28,458534148.45263314,0.2227577292070218,366.82731876210653,30.016384,366.82731876210653,80.7674624
29,324178443.9918275,-0.1355241493551267,259.342755193462,30.016384,259.342755193462,80.7674624
30,300692509.5167519,-0.19815330795532843,240.5540076134015,30.016384,240.5540076134015,80.7674624
31,385809140.4592903,0.02882437455810757,308.6473123674323,30.016384,308.6473123674323,80.7674624
32,370532875.8343285,-0.011912331108457304,296.4263006674628,30.016384,296.4263006674628,80.7674624
33,442662372.4469828,0.18043299319195408,354.12989795758625,30.016384,354.12989795758625,80.7674624
34,368986418.2853621,-0.016036217905701027,295.1891346282897,30.016384,295.1891346282897,80.7674624
35,373100260.7381729,-0.0050659713648723015,298.4802085905383,30.016384,298.4802085905383,80.7674624
36,367842229.1399527,-0.019087388960126035,294.2737833119622,30.016384,294.2737833119622,80.7674624
37,337852266.0619387,-0.09906062383483011,270.281812849551,30.016384,270.281812849551,80.7674624
38,400238624.400952,0.06730299840253856,320.1908995207616,30.016384,320.1908995207616,80.7674624
39,325346907.5822992,-0.1324082464472022,260.2775260658393,30.016384,260.2775260658393,80.7674624
40,418743380.183945,0.1166490138238534,334.994704147156,30.016384,334.994704147156,80.7674624
41,375314106.7313267,0.0008376179502044914,300.25128538506135,30.016384,300.25128538506135,80.7674624
42,393886127.114194,0.05036300563785048,315.1089016913552,30.016384,315.1089016913552,80.7674624
43,354271323.8579735,-0.05527646971207058,283.4170590863788,30.016384,283.4170590863788,80.7674624
44,340492737.4562422,-0.09201936678335405,272.39418996499376,30.016384,272.39418996499376,80.7674624
45,442509876.0165487,0.18002633604412996,354.00790081323896,30.016384,354.00790081323896,80.7674624
46,392570616.8344792,0.04685497822527792,314.0564934675834,30.016384,314.0564934675834,80.7674624
47,420262619.2262004,0.12070031793653449,336.2100953809603,30.016384,336.2100953809603,80.7674624
48,382017108.66749287,0.018712289779980944,305.6136869339943,30.016384,305.6136869339943,80.7674624
49,472935282.2721018,0.26116075272560474,378.34822581768145,30.016384,378.34822581768145,80.7674624
50,388406251.81366545,0.03575000483644121,310.7250014509324,30.016384,310.7250014509324,80.7674624
51,336382319.8298851,-0.10298048045363971,269.1058558639081,30.016384,269.1058558639081,80.7674624
52,403819091.13578206,0.07685090969541893,323.0552729086256,30.016384,323.0552729086256,80.7674624
53,390948716.8446618,0.042529911585764635,312.7589734757294,30.016384,312.7589734757294,80.7674624
54,287956875.99402905,-0.23211499734925592,230.36550079522323,30.016384,230.36550079522323,80.7674624
55,370653591.4102017,-0.011590422906128793,296.5228731281614,30.016384,296.5228731281614,80.7674624
56,411757463.29440075,0.09801990211840204,329.4059706355206,30.016384,329.4059706355206,80.7674624
57,405043689.0043789,0.08011650401167723,324.0349512035031,30.016384,324.0349512035031,80.7674624
58,362271172.1882629,-0.03394354083129888,289.8169377506103,30.016384,289.8169377506103,80.7674624
59,329526591.9357301,-0.12126242150471978,263.6212735485841,30.016384,263.6212735485841,80.7674624
60,393423508.0990285,0.049129354930742795,314.73880647922283,30.016384,314.73880647922283,80.7674624
61,332031452.0310482,-0.1145827945838715,265.62516162483854,30.016384,265.62516162483854,80.7674624
62,424675449.8403921,0.13246786624104565,339.7403598723137,30.016384,339.7403598723137,80.7674624
63,363514967.002624,-0.030626754659669343,290.81197360209916,30.016384,290.81197360209916,80.7674624
64,340319287.3697178,-0.09248190034741936,272.2554298957742,30.016384,272.2554298957742,80.7674624
65,353712528.0002375,-0.05676659199936665,282.97002240019003,30.016384,282.97002240019003,80.7674624
66,344591669.5100619,-0.08108888130650166,275.6733356080495,30.016384,275.6733356080495,80.7674624
67,353973100.78183955,-0.05607173124842788,283.17848062547165,30.016384,283.17848062547165,80.7674624
68,347385596.10734737,-0.07363841038040712,277.9084768858779,30.016384,277.9084768858779,80.7674624
69,360787180.37373555,-0.03790085233670528,288.62974429898844,30.016384,288.62974429898844,80.7674624
70,383961363.72136915,0.02389696992365105,307.1690909770953,30.016384,307.1690909770953,80.7674624
71,397383340.22988164,0.05968890727968448,317.9066721839053,30.016384,317.9066721839053,80.7674624
72,333365877.20521426,-0.11102432745276206,266.69270176417143,30.016384,266.69270176417143,80.7674624
73,339317327.266276,-0.09515379395659727,271.4538618130208,30.016384,271.4538618130208,80.7674624
74,358906780.90119547,-0.042915250930145324,287.12542472095635,30.016384,287.12542472095635,80.7674624
75,377390459.7296834,0.006374559279155837,301.91236778374673,30.016384,301.91236778374673,80.7674624
76,378664851.4398375,0.00977293717290007,302.93188115187,30.016384,302.93188115187,80.7674624
77,298350692.66739607,-0.20439815288694377,238.68055413391684,30.016384,238.68055413391684,80.7674624
78,438901025.6510156,0.17040273506937487,351.12082052081246,30.016384,351.12082052081246,80.7674624
79,341617724.31178796,-0.08901940183523209,273.2941794494304,30.016384,273.2941794494304,80.7674624
80,443137082.31114733,0.18169888616305943,354.50966584891785,30.016384,354.50966584891785,80.7674624
81,324290436.8472473,-0.13522550174067383,259.43234947779786,30.016384,259.43234947779786,80.7674624
82,338843563.08324087,-0.09641716511135762,271.0748504665927,30.016384,271.0748504665927,80.7674624
83,365571189.1955635,-0.02514349547849742,292.4569513564508,30.016384,292.4569513564508,80.7674624
84,366649683.25106657,-0.022267511330489112,293.31974660085325,30.016384,293.31974660085325,80.7674624
85,346065812.9050788,-0.07715783225312309,276.85265032406306,30.016384,276.85265032406306,80.7674624
86,402558569.6714964,0.0734895191239904,322.0468557371971,30.016384,322.0468557371971,80.7674624
87,307423720.73536617,-0.18020341137235682,245.93897658829295,30.016384,245.93897658829295,80.7674624
88,414564664.8676884,0.10550577298050255,331.6517318941507,30.016384,331.6517318941507,80.7674624
89,344326012.60880053,-0.08179729970986532,275.46081008704044,30.016384,275.46081008704044,80.7674624
90,421934987.0447063,0.1251599654525502,337.547989635765,30.016384,337.547989635765,80.7674624
91,359673201.8932772,-0.0408714616179274,287.7385615146218,30.016384,287.7385615146218,80.7674624
92,322535379.30664504,-0.13990565518227993,258.02830344531606,30.016384,258.02830344531606,80.7674624
93,391841801.1896667,0.044911469839111096,313.4734409517333,30.016384,313.4734409517333,80.7674624
94,458631412.78179353,0.22301710075144932,366.90513022543485,30.016384,366.90513022543485,80.7674624
95,373033238.1656185,-0.0052446982250173805,298.4265905324948,30.016384,298.4265905324948,80.7674624
96,379180685.073029,0.011148493528077183,303.3445480584232,30.016384,303.3445480584232,80.7674624
97,360023471.7309023,-0.03993740871759376,288.01877738472183,30.016384,288.01877738472183,80.7674624
98,342130191.184563,-0.08765282350783205,273.70415294765036,30.016384,273.70415294765036,80.7674624
99,346825257.99250734,-0.07513264535331379,277.46020639400587,30.016384,277.46020639400587,80.7674624
