run_id,architecture,tfup_s,tcp_s
0,A0_GROUND_ONLY,303.7719066328018,303.7719066328018
0,A1_COMPRESSED_FULL,270.2789870823948,270.2789870823948
0,A2_QUICKLOOK_FIRST,19.02789870823948,19.02789870823948
0,A3_ROI_FIRST,110.2789870823948,110.2789870823948
0,A4_PROGRESSIVE,30.2953710823948,81.0464494823948
1,A0_GROUND_ONLY,303.1470035145912,303.1470035145912
1,A1_COMPRESSED_FULL,269.4604286540754,269.4604286540754
1,A2_QUICKLOOK_FIRST,18.946042865407538,18.946042865407538
1,A3_ROI_FIRST,109.46042865407539,109.46042865407539
1,A4_PROGRESSIVE,29.47681265407539,80.22789105407539
2,A0_GROUND_ONLY,339.1200013539042,339.1200013539042
2,A1_COMPRESSED_FULL,270.86782648365426,270.86782648365426
2,A2_QUICKLOOK_FIRST,19.08678264836543,19.08678264836543
2,A3_ROI_FIRST,110.86782648365426,110.86782648365426
2,A4_PROGRESSIVE,30.88421048365426,81.63528888365425
3,A0_GROUND_ONLY,262.0373558686184,262.0373558686184
3,A1_COMPRESSED_FULL,269.09511688717066,269.09511688717066
3,A2_QUICKLOOK_FIRST,18.909511688717068,18.909511688717068
3,A3_ROI_FIRST,109.09511688717066,109.09511688717066
3,A4_PROGRESSIVE,29.111500887170656,79.86257928717066
4,A0_GROUND_ONLY,230.24907676083498,230.24907676083498
4,A1_COMPRESSED_FULL,258.99667836434367,258.99667836434367
4,A2_QUICKLOOK_FIRST,18.874760160350867,18.874760160350867
4,A3_ROI_FIRST,108.74760160350868,108.74760160350868
4,A4_PROGRESSIVE,28.763985603508683,79.51506400350868
5,A0_GROUND_ONLY,278.0319793588964,278.0319793588964
5,A1_COMPRESSED_FULL,268.952842003489,268.952842003489
5,A2_QUICKLOOK_FIRST,18.895284200348904,18.895284200348904
5,A3_ROI_FIRST,108.95284200348904,108.95284200348904
5,A4_PROGRESSIVE,28.969226003489034,79.72030440348904
6,A0_GROUND_ONLY,312.348916091224,312.348916091224
6,A1_COMPRESSED_FULL,271.46234409053517,271.46234409053517
6,A2_QUICKLOOK_FIRST,19.146234409053513,19.146234409053513
6,A3_ROI_FIRST,111.46234409053514,111.46234409053514
6,A4_PROGRESSIVE,31.478728090535142,82.22980649053514
7,A0_GROUND_ONLY,340.99390411649057,340.99390411649057
7,A1_COMPRESSED_FULL,269.2570721938535,269.2570721938535
7,A2_QUICKLOOK_FIRST,18.92570721938535,18.92570721938535
7,A3_ROI_FIRST,109.2570721938535,109.2570721938535
7,A4_PROGRESSIVE,29.273456193853495,80.0245345938535
8,A0_GROUND_ONLY,327.10410544955425,327.10410544955425
8,A1_COMPRESSED_FULL,269.5807728318954,269.5807728318954
8,A2_QUICKLOOK_FIRST,18.95807728318954,18.95807728318954
8,A3_ROI_FIRST,109.58077283189539,109.58077283189539
8,A4_PROGRESSIVE,29.597156831895383,80.34823523189539
9,A0_GROUND_ONLY,272.3482387122474,272.3482387122474
9,A1_COMPRESSED_FULL,269.47477801680037,269.47477801680037
9,A2_QUICKLOOK_FIRST,18.947477801680034,18.947477801680034
9,A3_ROI_FIRST,109.47477801680034,109.47477801680034
9,A4_PROGRESSIVE,29.491162016800345,80.24224041680034
10,A0_GROUND_ONLY,269.7114544938379,269.7114544938379
10,A1_COMPRESSED_FULL,269.56806685461845,269.56806685461845
10,A2_QUICKLOOK_FIRST,18.956806685461842,18.956806685461842
10,A3_ROI_FIRST,109.56806685461842,109.56806685461842
10,A4_PROGRESSIVE,29.584450854618424,80.33552925461842
11,A0_GROUND_ONLY,316.2253675405742,316.2253675405742
11,A1_COMPRESSED_FULL,270.59137886531016,270.59137886531016
11,A2_QUICKLOOK_FIRST,19.059137886531015,19.059137886531015
11,A3_ROI_FIRST,110.59137886531015,110.59137886531015
11,A4_PROGRESSIVE,30.60776286531015,81.35884126531015
12,A0_GROUND_ONLY,280.3851417174498,280.3851417174498
12,A1_COMPRESSED_FULL,270.3897506304043,270.3897506304043
12,A2_QUICKLOOK_FIRST,19.038975063040432,19.038975063040432
12,A3_ROI_FIRST,110.38975063040432,110.38975063040432
12,A4_PROGRESSIVE,30.406134630404317,81.15721303040432
13,A0_GROUND_ONLY,344.8029343566228,344.8029343566228
13,A1_COMPRESSED_FULL,269.1753646862854,269.1753646862854
13,A2_QUICKLOOK_FIRST,18.917536468628537,18.917536468628537
13,A3_ROI_FIRST,109.17536468628535,109.17536468628535
13,A4_PROGRESSIVE,29.191748686285354,79.94282708628535
14,A0_GROUND_ONLY,340.37626271346915,340.37626271346915
14,A1_COMPRESSED_FULL,271.3780571562585,271.3780571562585
14,A2_QUICKLOOK_FIRST,19.137805715625845,19.137805715625845
14,A3_ROI_FIRST,111.37805715625845,111.37805715625845
14,A4_PROGRESSIVE,31.394441156258456,82.14551955625845
15,A0_GROUND_ONLY,290.5823155639072,290.5823155639072
15,A1_COMPRESSED_FULL,273.76440340653517,273.76440340653517
15,A2_QUICKLOOK_FIRST,19.376440340653513,19.376440340653513
15,A3_ROI_FIRST,113.76440340653514,113.76440340653514
15,A4_PROGRESSIVE,33.78078740653514,84.53186580653514
16,A0_GROUND_ONLY,354.0490460959837,354.0490460959837
16,A1_COMPRESSED_FULL,272.258315667227,272.258315667227
16,A2_QUICKLOOK_FIRST,19.225831566722704,19.225831566722704
16,A3_ROI_FIRST,112.25831566722701,112.25831566722701
16,A4_PROGRESSIVE,32.27469966722702,83.02577806722701
17,A0_GROUND_ONLY,263.7504410315349,263.7504410315349
17,A1_COMPRESSED_FULL,270.485565350624,270.485565350624
17,A2_QUICKLOOK_FIRST,19.048556535062396,19.048556535062396
17,A3_ROI_FIRST,110.48556535062397,110.48556535062397
17,A4_PROGRESSIVE,30.501949350623963,81.25302775062397
18,A0_GROUND_ONLY,261.3491560875134,261.3491560875134
18,A1_COMPRESSED_FULL,270.92145018496575,270.92145018496575
18,A2_QUICKLOOK_FIRST,19.092145018496577,19.092145018496577
18,A3_ROI_FIRST,110.92145018496578,110.92145018496578
18,A4_PROGRESSIVE,30.937834184965773,81.68891258496578
19,A0_GROUND_ONLY,320.88128171888604,320.88128171888604
19,A1_COMPRESSED_FULL,267.7569286422425,267.7569286422425
19,A2_QUICKLOOK_FIRST,18.775692864224247,18.775692864224247
19,A3_ROI_FIRST,107.75692864224247,107.75692864224247
19,A4_PROGRESSIVE,27.77331264224247,78.52439104224247
20,A0_GROUND_ONLY,286.90694258570335,286.90694258570335
20,A1_COMPRESSED_FULL,269.47352120140135,269.47352120140135
20,A2_QUICKLOOK_FIRST,18.947352120140135,18.947352120140135
20,A3_ROI_FIRST,109.47352120140134,109.47352120140134
20,A4_PROGRESSIVE,29.48990520140134,80.24098360140134
21,A0_GROUND_ONLY,285.12267814673544,285.12267814673544
21,A1_COMPRESSED_FULL,270.2963351907921,270.2963351907921
21,A2_QUICKLOOK_FIRST,19.029633519079212,19.029633519079212
21,A3_ROI_FIRST,110.29633519079212,110.29633519079212
21,A4_PROGRESSIVE,30.31271919079212,81.06379759079212
22,A0_GROUND_ONLY,347.5041863640636,347.5041863640636
22,A1_COMPRESSED_FULL,272.4869154762756,272.4869154762756
22,A2_QUICKLOOK_FIRST,19.24869154762756,19.24869154762756
22,A3_ROI_FIRST,112.48691547627558,112.48691547627558
22,A4_PROGRESSIVE,32.50329947627559,83.25437787627558
23,A0_GROUND_ONLY,233.8947035806005,233.8947035806005
23,A1_COMPRESSED_FULL,264.48684561599356,264.48684561599356
23,A2_QUICKLOOK_FIRST,19.059214203539305,19.059214203539305
23,A3_ROI_FIRST,110.59214203539305,110.59214203539305
23,A4_PROGRESSIVE,30.608526035393048,81.35960443539305
24,A0_GROUND_ONLY,330.11884727526507,330.11884727526507
24,A1_COMPRESSED_FULL,270.3974291932997,270.3974291932997
24,A2_QUICKLOOK_FIRST,19.039742919329967,19.039742919329967
24,A3_ROI_FIRST,110.39742919329967,110.39742919329967
24,A4_PROGRESSIVE,30.413813193299667,81.16489159329967
25,A0_GROUND_ONLY,260.3870708996012,260.3870708996012
25,A1_COMPRESSED_FULL,269.6857993920276,269.6857993920276
25,A2_QUICKLOOK_FIRST,18.968579939202762,18.968579939202762
25,A3_ROI_FIRST,109.6857993920276,109.6857993920276
25,A4_PROGRESSIVE,29.702183392027603,80.4532617920276
26,A0_GROUND_ONLY,301.47163841475935,301.47163841475935
26,A1_COMPRESSED_FULL,273.1591341235883,273.1591341235883
26,A2_QUICKLOOK_FIRST,19.31591341235883,19.31591341235883
26,A3_ROI_FIRST,113.1591341235883,113.1591341235883
26,A4_PROGRESSIVE,33.1755181235883,83.9265965235883
27,A0_GROUND_ONLY,281.0041772942332,281.0041772942332
27,A1_COMPRESSED_FULL,268.63074428966974,268.63074428966974
27,A2_QUICKLOOK_FIRST,18.863074428966975,18.863074428966975
27,A3_ROI_FIRST,108.63074428966975,108.63074428966975
27,A4_PROGRESSIVE,28.647128289669745,79.39820668966975
28,A0_GROUND_ONLY,261.66959500840176,261.66959500840176
