architecture,tfup_mean,tfup_ci_lower,tfup_ci_upper,tcp_mean,tcp_ci_lower,tcp_ci_upper,n_samples
A0_GROUND_ONLY,312.0,240.0,388.0,312.0,240.0,388.0,15
A1_COMPRESSED_FULL,188.0,100.0,276.0,188.0,100.0,276.0,6
A2_QUICKLOOK_FIRST,38.53333333333333,7.6000000000000005,88.93333333333334,78.53333333333335,28.400000000000002,129.20000000000002,6
A3_ROI_FIRST,202.66666666666666,48.0,454.6666666666667,242.66666666666666,94.66666666666667,481.3333333333333,6
A4_PROGRESSIVE,26.024794453333335,23.364670463999996,28.03713706666667,90.86606643200003,76.99335099733335,108.83536793600003,15
