contact_duration_s,rate_bps,architecture_id,tcp_s
420,5000000,A4_PROGRESSIVE,121.5349248
420,10000000,A0_GROUND_ONLY,420.0
420,10000000,A1_COMPRESSED_FULL,260.0
420,10000000,A2_QUICKLOOK_FIRST,18.0
420,10000000,A3_ROI_FIRST,100.0
420,10000000,A4_PROGRESSIVE,70.7674624
420,25000000,A0_GROUND_ONLY,320.0
420,25000000,A1_COMPRESSED_FULL,116.0
420,25000000,A2_QUICKLOOK_FIRST,328.4
420,25000000,A3_ROI_FIRST,372.0
420,25000000,A4_PROGRESSIVE,360.30698496
420,50000000,A0_GROUND_ONLY,160.0
420,50000000,A1_COMPRESSED_FULL,68.0
420,50000000,A2_QUICKLOOK_FIRST,165.2
420,50000000,A3_ROI_FIRST,196.0
420,50000000,A4_PROGRESSIVE,190.15349248
420,100000000,A0_GROUND_ONLY,80.0
420,100000000,A1_COMPRESSED_FULL,44.0
420,100000000,A2_QUICKLOOK_FIRST,83.6
420,100000000,A3_ROI_FIRST,108.0
420,100000000,A4_PROGRESSIVE,105.07674624
600,1000000,A0_GROUND_ONLY,600.0
600,1000000,A1_COMPRESSED_FULL,620.0
600,1000000,A2_QUICKLOOK_FIRST,162.0
600,1000000,A3_ROI_FIRST,820.0
600,1000000,A4_PROGRESSIVE,527.674624
600,5000000,A0_GROUND_ONLY,600.0
600,5000000,A1_COMPRESSED_FULL,500.0
600,5000000,A2_QUICKLOOK_FIRST,34.0
600,5000000,A3_ROI_FIRST,180.0
600,5000000,A4_PROGRESSIVE,121.5349248
600,10000000,A0_GROUND_ONLY,600.0
600,10000000,A1_COMPRESSED_FULL,260.0
600,10000000,A2_QUICKLOOK_FIRST,18.0
600,10000000,A3_ROI_FIRST,100.0
600,10000000,A4_PROGRESSIVE,70.7674624
600,25000000,A0_GROUND_ONLY,320.0
600,25000000,A1_COMPRESSED_FULL,116.0
600,25000000,A2_QUICKLOOK_FIRST,328.4
600,25000000,A3_ROI_FIRST,372.0
600,25000000,A4_PROGRESSIVE,360.30698496
600,50000000,A0_GROUND_ONLY,160.0
600,50000000,A1_COMPRESSED_FULL,68.0
600,50000000,A2_QUICKLOOK_FIRST,165.2
600,50000000,A3_ROI_FIRST,196.0
600,50000000,A4_PROGRESSIVE,190.15349248
600,100000000,A0_GROUND_ONLY,80.0
600,100000000,A1_COMPRESSED_FULL,44.0
600,100000000,A2_QUICKLOOK_FIRST,83.6
600,100000000,A3_ROI_FIRST,108.0
600,100000000,A4_PROGRESSIVE,105.07674624
