profile,architecture_set,view,rank,architecture,score
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,1,Progressive,0.9425431961535586
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,2,RoiFirst,0.8365599241451126
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,3,QuicklookFirst,0.007042253521126705
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,4,GroundOnly,0.0
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,5,CompressedFull,0.0
TACTICAL_USER_LEANING,ORIGINAL_SET,SIMULATED_ONLY,6,ContactAware,0.0
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,1,Progressive,0.7297802373074911
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,2,RoiFirst,0.6755919469015789
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,3,GroundOnly,0.25
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,4,QuicklookFirst,0.1399295774647887
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,5,ContactAware,0.13
TACTICAL_USER_LEANING,ORIGINAL_SET,COMBINED,6,CompressedFull,0.1
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,1,ThreadAwarePriority,1.0
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,2,Progressive,0.9425431961535586
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,3,RoiFirst,0.8365599241451126
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,4,QuicklookFirst,0.007042253521126705
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,5,GroundOnly,0.0
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,6,CompressedFull,0.0
TACTICAL_USER_LEANING,WITH_A6,SIMULATED_ONLY,7,ContactAware,0.0
TACTICAL_USER_LEANING,WITH_A6,COMBINED,1,ThreadAwarePriority,0.75
TACTICAL_USER_LEANING,WITH_A6,COMBINED,2,Progressive,0.7297802373074911
TACTICAL_USER_LEANING,WITH_A6,COMBINED,3,RoiFirst,0.6755919469015789
TACTICAL_USER_LEANING,WITH_A6,COMBINED,4,GroundOnly,0.25
TACTICAL_USER_LEANING,WITH_A6,COMBINED,5,QuicklookFirst,0.1399295774647887
TACTICAL_USER_LEANING,WITH_A6,COMBINED,6,ContactAware,0.13
TACTICAL_USER_LEANING,WITH_A6,COMBINED,7,CompressedFull,0.1
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,1,Progressive,0.9356165049131246
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,2,RoiFirst,0.8079070877466492
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,3,QuicklookFirst,0.005281690140845028
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,4,GroundOnly,0.0
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,5,CompressedFull,0.0
ACQUISITION_LEANING,ORIGINAL_SET,SIMULATED_ONLY,6,ContactAware,0.0
ACQUISITION_LEANING,ORIGINAL_SET,COMBINED,1,RoiFirst,0.6781628350986597
ACQUISITION_LEANING,ORIGINAL_SET,COMBINED,2,Progressive,0.5892466019652499
ACQUISITION_LEANING,ORIGINAL_SET,COMBINED,3,GroundOnly,0.5249999999999999
ACQUISITION_LEANING,ORIGINAL_SET,COMBINED,4,CompressedFull,0.425
ACQUISITION_LEANING,ORIGINAL_SET,COMBINED,5,QuicklookFirst,0.424612676056338
ACQUISITION_LEANING,ORIGINAL_SET,COMBINED,6,ContactAware,0.31833333333333336
ACQUISITION_LEANING,WITH_A6,SIMULATED_ONLY,1,ThreadAwarePriority,1.0
ACQUISITION_LEANING,WITH_A6,SIMULATED_ONLY,2,Progressive,0.9356165049131246
ACQUISITION_LEANING,WITH_A6,SIMULATED_ONLY,3,RoiFirst,0.8079070877466492
ACQUISITION_LEANING,WITH_A6,SIMULATED_ONLY,4,QuicklookFirst,0.005281690140845028
ACQUISITION_LEANING,WITH_A6,SIMULATED_ONLY,5,GroundOnly,0.0
ACQUISITION_LEANING,WITH_A6,SIMULATED_ONLY,6,CompressedFull,0.0
ACQUISITION_LEANING,WITH_A6,SIMULATED_ONLY,7,ContactAware,0.0
ACQUISITION_LEANING,WITH_A6,COMBINED,1,RoiFirst,0.6781628350986597
ACQUISITION_LEANING,WITH_A6,COMBINED,2,Progressive,0.5892466019652499
ACQUISITION_LEANING,WITH_A6,COMBINED,3,GroundOnly,0.5249999999999999
ACQUISITION_LEANING,WITH_A6,COMBINED,4,ThreadAwarePriority,0.47500000000000003
ACQUISITION_LEANING,WITH_A6,COMBINED,5,CompressedFull,0.425
ACQUISITION_LEANING,WITH_A6,COMBINED,6,QuicklookFirst,0.424612676056338
ACQUISITION_LEANING,WITH_A6,COMBINED,7,ContactAware,0.31833333333333336
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,SIMULATED_ONLY,1,Progressive,0.9339318427510604
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,SIMULATED_ONLY,2,RoiFirst,0.8002103406232843
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,SIMULATED_ONLY,3,QuicklookFirst,0.0046948356807511365
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,SIMULATED_ONLY,4,GroundOnly,0.0
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,SIMULATED_ONLY,5,CompressedFull,0.0
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,SIMULATED_ONLY,6,ContactAware,0.0
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,1,Progressive,0.7402693292379772
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,2,RoiFirst,0.7000946532804779
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,3,QuicklookFirst,0.4321126760563381
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,4,CompressedFull,0.35
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,5,ContactAware,0.29666666666666675
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,6,GroundOnly,0.25
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,1,ThreadAwarePriority,1.0
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,2,Progressive,0.9339318427510604
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,3,RoiFirst,0.8002103406232843
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,4,QuicklookFirst,0.0046948356807511365
