architecture,thread,terminal_class,condition,trial_idx,total_passes,passes_met,cadence_rate,structural_incapacity,success
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,6,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,7,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,8,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,9,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,10,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,10,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,10,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,10,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,10,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,10,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,10,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,11,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,11,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,11,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,11,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,11,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,11,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,11,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,12,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,12,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,12,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,12,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,12,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,12,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,12,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,13,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,13,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,13,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,13,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,13,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,13,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,13,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,14,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,14,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,14,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,14,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,14,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,14,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,14,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,15,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,15,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,15,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,15,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,15,28,28,1.0,False,True
