architecture,thread,terminal_class,condition,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper,structural_incapacity_rate
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,300,5,0.016666666666666666,0.0071393720427721935,0.038415943621705605,0.0
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,300,15,0.05,0.030531367290852585,0.08084771970710952,0.0
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,300,14,0.04666666666666667,0.02799867455083086,0.07679803531378282,0.0
Progressive,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,300,5,0.016666666666666666,0.0071393720427721935,0.038415943621705605,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,1,0.0033333333333333335,0.0005886425761407379,0.018637164554943353,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,4,0.013333333333333334,0.005196877684679467,0.03377606084644991,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,INTERFERENCE,300,3,0.01,0.0034065567627181124,0.028984004635062833,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,NOMINAL,300,7,0.023333333333333334,0.01134751559829571,0.04737255433287896,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,REACHBACK_LOST,300,4,0.013333333333333334,0.005196877684679467,0.03377606084644991,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,2,0.006666666666666667,0.0018301100329710784,0.023978074231461442,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,CONTACT_DENIAL,300,3,0.01,0.0034065567627181124,0.028984004635062833,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,INTERFERENCE,300,8,0.02666666666666667,0.013572906766976815,0.051729540297546284,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,NOMINAL,300,19,0.06333333333333334,0.04091655604878176,0.09679203948257407,0.0
Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,REACHBACK_LOST,300,7,0.023333333333333334,0.01134751559829571,0.04737255433287896,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,300,1,0.0033333333333333335,0.0005886425761407379,0.018637164554943353,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,300,1,0.0033333333333333335,0.0005886425761407379,0.018637164554943353,0.0
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,0.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,DISMOUNTED_MANPACK,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,CONTACT_DENIAL,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,REACHBACK_LOST,300,0,0.0,0.0,0.012643429997735661,1.0
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,COMBINED_DEGRADED,300,0,0.0,0.0,0.012643429997735661,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,CONTACT_DENIAL,300,6,0.02,0.009197506067771085,0.042940186730055147,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,INTERFERENCE,300,0,0.0,0.0,0.012643429997735661,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,NOMINAL,300,6,0.02,0.009197506067771085,0.042940186730055147,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,DISMOUNTED_MANPACK,REACHBACK_LOST,300,3,0.01,0.0034065567627181124,0.028984004635062833,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,COMBINED_DEGRADED,300,6,0.02,0.009197506067771085,0.042940186730055147,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,CONTACT_DENIAL,300,5,0.016666666666666666,0.0071393720427721935,0.038415943621705605,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,INTERFERENCE,300,15,0.05,0.030531367290852585,0.08084771970710952,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,NOMINAL,300,14,0.04666666666666667,0.02799867455083086,0.07679803531378282,0.0
RoiFirst,MT2_ROUTE_RECON_FIRST,VEHICLE_MOUNTED,REACHBACK_LOST,300,5,0.016666666666666666,0.0071393720427721935,0.038415943621705605,0.0
