satellites,planes,terminals,architecture,thread,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper
1,1,2,RoiFirst,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,2,RoiFirst,MT2_ROUTE_RECON_FIRST,160,6,0.0375,0.01729768727039704,0.0793908216308832
1,1,2,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,1,0.00625,0.00110410335439148,0.03454984533751582
1,1,2,RoiFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,2,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,2,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,160,6,0.0375,0.01729768727039704,0.0793908216308832
1,1,2,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,160,1,0.00625,0.00110410335439148,0.03454984533751582
1,1,2,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
1,1,4,CompressedFull,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,4,CompressedFull,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,4,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,4,CompressedFull,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,4,ContactAware,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,4,ContactAware,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,4,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,4,ContactAware,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,4,GroundOnly,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,4,GroundOnly,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,4,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,4,GroundOnly,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
1,1,4,Progressive,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,4,Progressive,MT2_ROUTE_RECON_FIRST,160,5,0.03125,0.013420318754525096,0.07106127810488057
1,1,4,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,160,3,0.01875,0.00639673490167721,0.05367103787397927
1,1,4,Progressive,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
1,1,4,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
1,1,4,QuicklookFirst,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
1,1,4,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
1,1,4,QuicklookFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
