profile,architecture_set,view,rank,architecture,score
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,SIMULATED_ONLY,6,ContactAware,0.0
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,1,RoiFirst,0.7849355016048442
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,2,Progressive,0.7624993860253491
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,3,QuicklookFirst,0.4275
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,4,CompressedFull,0.35
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,5,ContactAware,0.3041666666666667
TERMINAL_OPERATOR_LEANING,ORIGINAL_SET,COMBINED,6,GroundOnly,0.25
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,1,ThreadAwarePriority,1.0
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,2,Progressive,0.9999986356118868
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,3,RoiFirst,0.9943011146774317
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,4,GroundOnly,0.0
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,5,CompressedFull,0.0
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,6,QuicklookFirst,0.0
TERMINAL_OPERATOR_LEANING,WITH_A6,SIMULATED_ONLY,7,ContactAware,0.0
TERMINAL_OPERATOR_LEANING,WITH_A6,COMBINED,1,RoiFirst,0.7849355016048442
TERMINAL_OPERATOR_LEANING,WITH_A6,COMBINED,2,Progressive,0.7624993860253491
TERMINAL_OPERATOR_LEANING,WITH_A6,COMBINED,3,ThreadAwarePriority,0.75
TERMINAL_OPERATOR_LEANING,WITH_A6,COMBINED,4,QuicklookFirst,0.4275
TERMINAL_OPERATOR_LEANING,WITH_A6,COMBINED,5,CompressedFull,0.35
TERMINAL_OPERATOR_LEANING,WITH_A6,COMBINED,6,ContactAware,0.3041666666666667
TERMINAL_OPERATOR_LEANING,WITH_A6,COMBINED,7,GroundOnly,0.25
BALANCED,ORIGINAL_SET,SIMULATED_ONLY,1,Progressive,0.99999795341783
BALANCED,ORIGINAL_SET,SIMULATED_ONLY,2,RoiFirst,0.9914516720161475
BALANCED,ORIGINAL_SET,SIMULATED_ONLY,3,GroundOnly,0.0
BALANCED,ORIGINAL_SET,SIMULATED_ONLY,4,CompressedFull,0.0
BALANCED,ORIGINAL_SET,SIMULATED_ONLY,5,QuicklookFirst,0.0
BALANCED,ORIGINAL_SET,SIMULATED_ONLY,6,ContactAware,0.0
BALANCED,ORIGINAL_SET,COMBINED,1,RoiFirst,0.6749078594354917
BALANCED,ORIGINAL_SET,COMBINED,2,Progressive,0.6071419800362129
BALANCED,ORIGINAL_SET,COMBINED,3,GroundOnly,0.42857142857142855
BALANCED,ORIGINAL_SET,COMBINED,4,QuicklookFirst,0.37857142857142856
BALANCED,ORIGINAL_SET,COMBINED,5,ContactAware,0.2976190476190476
BALANCED,ORIGINAL_SET,COMBINED,6,CompressedFull,0.2857142857142857
BALANCED,WITH_A6,SIMULATED_ONLY,1,ThreadAwarePriority,1.0
BALANCED,WITH_A6,SIMULATED_ONLY,2,Progressive,0.99999795341783
BALANCED,WITH_A6,SIMULATED_ONLY,3,RoiFirst,0.9914516720161475
BALANCED,WITH_A6,SIMULATED_ONLY,4,GroundOnly,0.0
BALANCED,WITH_A6,SIMULATED_ONLY,5,CompressedFull,0.0
BALANCED,WITH_A6,SIMULATED_ONLY,6,QuicklookFirst,0.0
BALANCED,WITH_A6,SIMULATED_ONLY,7,ContactAware,0.0
BALANCED,WITH_A6,COMBINED,1,RoiFirst,0.6749078594354917
BALANCED,WITH_A6,COMBINED,2,Progressive,0.6071419800362129
BALANCED,WITH_A6,COMBINED,3,ThreadAwarePriority,0.5714285714285714
BALANCED,WITH_A6,COMBINED,4,GroundOnly,0.42857142857142855
BALANCED,WITH_A6,COMBINED,5,QuicklookFirst,0.37857142857142856
BALANCED,WITH_A6,COMBINED,6,ContactAware,0.2976190476190476
BALANCED,WITH_A6,COMBINED,7,CompressedFull,0.2857142857142857
