idx,low,high,baseline
0.000000000000000000e+00,1.814551287199331455e+03,1.606726179732616629e+03,1.697056274847714121e+03
1.000000000000000000e+00,1.609968943799848603e+03,1.779887636902959230e+03,1.697056274847714121e+03
2.000000000000000000e+00,1.855496968265950500e+03,1.577697529442179302e+03,1.697056274847714121e+03
