run_id,architecture,tfup_s,tcp_s,completed
23,A3_ROI_FIRST,110.59214203539305,,False
23,A4_PROGRESSIVE,30.608526035393048,,False
24,A0_GROUND_ONLY,,,False
24,A1_COMPRESSED_FULL,270.3974291932997,270.3974291932997,True
24,A2_QUICKLOOK_FIRST,19.039742919329967,,False
24,A3_ROI_FIRST,110.39742919329967,,False
24,A4_PROGRESSIVE,30.413813193299667,,False
25,A0_GROUND_ONLY,,,False
25,A1_COMPRESSED_FULL,269.6857993920276,269.6857993920276,True
25,A2_QUICKLOOK_FIRST,18.968579939202762,,False
25,A3_ROI_FIRST,109.6857993920276,,False
25,A4_PROGRESSIVE,29.702183392027603,,False
26,A0_GROUND_ONLY,,,False
26,A1_COMPRESSED_FULL,273.1591341235883,273.1591341235883,True
26,A2_QUICKLOOK_FIRST,19.31591341235883,,False
26,A3_ROI_FIRST,113.1591341235883,,False
26,A4_PROGRESSIVE,33.1755181235883,,False
27,A0_GROUND_ONLY,,,False
27,A1_COMPRESSED_FULL,268.63074428966974,268.63074428966974,True
27,A2_QUICKLOOK_FIRST,18.863074428966975,,False
27,A3_ROI_FIRST,108.63074428966975,,False
27,A4_PROGRESSIVE,28.647128289669745,,False
28,A0_GROUND_ONLY,,,False
28,A1_COMPRESSED_FULL,271.39523060569394,271.39523060569394,True
28,A2_QUICKLOOK_FIRST,19.139523060569395,,False
28,A3_ROI_FIRST,111.39523060569395,,False
28,A4_PROGRESSIVE,31.411614605693952,,False
29,A0_GROUND_ONLY,,,False
29,A1_COMPRESSED_FULL,270.08712401748005,270.08712401748005,True
29,A2_QUICKLOOK_FIRST,19.008712401748006,,False
29,A3_ROI_FIRST,110.08712401748008,,False
29,A4_PROGRESSIVE,30.10350801748007,,False
30,A0_GROUND_ONLY,,,False
30,A1_COMPRESSED_FULL,272.011471222101,272.011471222101,True
30,A2_QUICKLOOK_FIRST,19.201147122210102,,False
30,A3_ROI_FIRST,112.01147122210102,,False
30,A4_PROGRESSIVE,32.027855222101024,,False
31,A0_GROUND_ONLY,,,False
31,A1_COMPRESSED_FULL,271.157929441942,271.157929441942,True
31,A2_QUICKLOOK_FIRST,19.115792944194197,,False
31,A3_ROI_FIRST,111.15792944194196,,False
31,A4_PROGRESSIVE,31.174313441941962,,False
32,A0_GROUND_ONLY,,,False
32,A1_COMPRESSED_FULL,268.1452415833353,268.1452415833353,True
32,A2_QUICKLOOK_FIRST,18.81452415833353,,False
32,A3_ROI_FIRST,108.14524158333529,,False
32,A4_PROGRESSIVE,28.161625583335283,,False
33,A0_GROUND_ONLY,,,False
33,A1_COMPRESSED_FULL,271.51496574108154,271.51496574108154,True
33,A2_QUICKLOOK_FIRST,19.151496574108155,,False
33,A3_ROI_FIRST,111.51496574108154,,False
33,A4_PROGRESSIVE,31.53134974108154,,False
34,A0_GROUND_ONLY,,,False
34,A1_COMPRESSED_FULL,269.0080606093038,269.0080606093038,True
34,A2_QUICKLOOK_FIRST,18.90080606093038,,False
34,A3_ROI_FIRST,109.0080606093038,,False
34,A4_PROGRESSIVE,29.024444609303796,,False
35,A0_GROUND_ONLY,,,False
35,A1_COMPRESSED_FULL,269.37955519689785,269.37955519689785,True
35,A2_QUICKLOOK_FIRST,18.937955519689787,,False
35,A3_ROI_FIRST,109.37955519689785,,False
35,A4_PROGRESSIVE,29.39593919689785,,False
36,A0_GROUND_ONLY,,,False
36,A1_COMPRESSED_FULL,,,False
36,A2_QUICKLOOK_FIRST,19.01348964564464,,False
36,A3_ROI_FIRST,110.1348964564464,,False
36,A4_PROGRESSIVE,30.151280456446393,,False
37,A0_GROUND_ONLY,,,False
37,A1_COMPRESSED_FULL,270.0374597431451,270.0374597431451,True
37,A2_QUICKLOOK_FIRST,19.003745974314512,,False
37,A3_ROI_FIRST,110.03745974314513,,False
37,A4_PROGRESSIVE,30.053843743145134,,False
38,A0_GROUND_ONLY,,,False
38,A1_COMPRESSED_FULL,269.88777077355036,269.88777077355036,True
38,A2_QUICKLOOK_FIRST,18.98877707735504,,False
38,A3_ROI_FIRST,109.88777077355039,,False
38,A4_PROGRESSIVE,29.90415477355038,,False
39,A0_GROUND_ONLY,,,False
