satellites,terminals,architecture_a,architecture_b,n_paired_trials,diff_a_minus_b,significant
16,1,CompressedFull,Progressive,1000,-0.025,True
16,1,CompressedFull,QuicklookFirst,1000,0.0,False
16,1,CompressedFull,RoiFirst,1000,-0.018,True
16,1,CompressedFull,ThreadAwarePriority,1000,-0.029,True
16,1,ContactAware,GroundOnly,1000,0.0,False
16,1,ContactAware,Progressive,1000,-0.025,True
16,1,ContactAware,QuicklookFirst,1000,0.0,False
16,1,ContactAware,RoiFirst,1000,-0.018,True
16,1,ContactAware,ThreadAwarePriority,1000,-0.029,True
16,1,GroundOnly,Progressive,1000,-0.025,True
16,1,GroundOnly,QuicklookFirst,1000,0.0,False
16,1,GroundOnly,RoiFirst,1000,-0.018,True
16,1,GroundOnly,ThreadAwarePriority,1000,-0.029,True
16,1,Progressive,QuicklookFirst,1000,0.025,True
16,1,Progressive,RoiFirst,1000,0.007,True
16,1,Progressive,ThreadAwarePriority,1000,-0.004,True
16,1,QuicklookFirst,RoiFirst,1000,-0.018,True
16,1,QuicklookFirst,ThreadAwarePriority,1000,-0.029,True
16,1,RoiFirst,ThreadAwarePriority,1000,-0.011,True
16,2,CompressedFull,ContactAware,1000,0.0,False
16,2,CompressedFull,GroundOnly,1000,0.0,False
16,2,CompressedFull,Progressive,1000,-0.018,True
16,2,CompressedFull,QuicklookFirst,1000,0.0,False
16,2,CompressedFull,RoiFirst,1000,-0.017,True
16,2,CompressedFull,ThreadAwarePriority,1000,-0.018,True
16,2,ContactAware,GroundOnly,1000,0.0,False
16,2,ContactAware,Progressive,1000,-0.018,True
16,2,ContactAware,QuicklookFirst,1000,0.0,False
16,2,ContactAware,RoiFirst,1000,-0.017,True
16,2,ContactAware,ThreadAwarePriority,1000,-0.018,True
16,2,GroundOnly,Progressive,1000,-0.018,True
16,2,GroundOnly,QuicklookFirst,1000,0.0,False
16,2,GroundOnly,RoiFirst,1000,-0.017,True
16,2,GroundOnly,ThreadAwarePriority,1000,-0.018,True
16,2,Progressive,QuicklookFirst,1000,0.018,True
16,2,Progressive,RoiFirst,1000,0.001,False
16,2,Progressive,ThreadAwarePriority,1000,0.0,False
16,2,QuicklookFirst,RoiFirst,1000,-0.017,True
16,2,QuicklookFirst,ThreadAwarePriority,1000,-0.018,True
16,2,RoiFirst,ThreadAwarePriority,1000,-0.001,False
16,4,CompressedFull,ContactAware,1000,0.0,False
16,4,CompressedFull,GroundOnly,1000,0.0,False
16,4,CompressedFull,Progressive,1000,0.0,False
16,4,CompressedFull,QuicklookFirst,1000,0.0,False
16,4,CompressedFull,RoiFirst,1000,0.0,False
16,4,CompressedFull,ThreadAwarePriority,1000,0.0,False
16,4,ContactAware,GroundOnly,1000,0.0,False
16,4,ContactAware,Progressive,1000,0.0,False
16,4,ContactAware,QuicklookFirst,1000,0.0,False
16,4,ContactAware,RoiFirst,1000,0.0,False
16,4,ContactAware,ThreadAwarePriority,1000,0.0,False
16,4,GroundOnly,Progressive,1000,0.0,False
16,4,GroundOnly,QuicklookFirst,1000,0.0,False
16,4,GroundOnly,RoiFirst,1000,0.0,False
16,4,GroundOnly,ThreadAwarePriority,1000,0.0,False
16,4,Progressive,QuicklookFirst,1000,0.0,False
16,4,Progressive,RoiFirst,1000,0.0,False
16,4,Progressive,ThreadAwarePriority,1000,0.0,False
16,4,QuicklookFirst,RoiFirst,1000,0.0,False
16,4,QuicklookFirst,ThreadAwarePriority,1000,0.0,False
16,4,RoiFirst,ThreadAwarePriority,1000,0.0,False
32,1,CompressedFull,ContactAware,1000,0.0,False
32,1,CompressedFull,GroundOnly,1000,0.0,False
32,1,CompressedFull,Progressive,1000,-0.013,True
32,1,CompressedFull,QuicklookFirst,1000,0.0,False
32,1,CompressedFull,RoiFirst,1000,-0.013,True
32,1,CompressedFull,ThreadAwarePriority,1000,-0.013,True
32,1,ContactAware,GroundOnly,1000,0.0,False
32,1,ContactAware,Progressive,1000,-0.013,True
32,1,ContactAware,QuicklookFirst,1000,0.0,False
32,1,ContactAware,RoiFirst,1000,-0.013,True
32,1,ContactAware,ThreadAwarePriority,1000,-0.013,True
32,1,GroundOnly,Progressive,1000,-0.013,True
32,1,GroundOnly,QuicklookFirst,1000,0.0,False
32,1,GroundOnly,RoiFirst,1000,-0.013,True
